t,theta1,omega1,theta2,omega2,x2,y2,energy
0.675,-0.1764921051,-6.197334555,0.5923263,5.204855551,0.3827152743,-1.814109824,1.314582086
0.68,-0.2071044309,-6.049260127,0.617682433,4.939435991,0.3735203102,-1.793853281,1.314582587
0.685,-0.237001347,-5.911158486,0.6417391337,4.685084221,0.3638006328,-1.773102337,1.314582934
0.69,-0.2662322986,-5.782820023,0.6645514296,4.441615604,0.3536077319,-1.751962518,1.31458316
0.695,-0.2948451477,-5.663838708,0.6861726608,4.208564875,0.3429890235,-1.730523757,1.314583297
0.7,-0.3228854248,-5.553699857,0.7066534081,3.985310333,0.3319880031,-1.708862857,1.31458337
0.705,-0.3503959408,-5.45183805,0.7260409311,3.771156235,0.320644503,-1.68704561,1.314583401
0.71,-0.3774166334,-5.357674191,0.7443789411,3.565385951,0.3089949937,-1.66512858,1.314583405
0.715,-0.4039845602,-5.270638371,0.7617075863,3.367295165,0.2970728959,-1.643160587,1.314583391
0.72,-0.430133982,-5.190183233,0.7780635677,3.176211707,0.2849088818,-1.621183946,1.314583368
0.725,-0.4558964946,-5.115791096,0.7934803298,2.991506564,0.2725311559,-1.599235486,1.314583338
0.73,-0.4813011869,-5.046977076,0.8079882922,2.812599195,0.2599657099,-1.577347402,1.314583307
0.735,-0.5063748069,-4.983289676,0.8216150968,2.638959229,0.2472365503,-1.555547952,1.314583275
0.74,-0.5311419271,-4.924309864,0.8343858586,2.470105944,0.2343658998,-1.533862043,1.314583245
0.745,-0.5556251019,-4.869649261,0.8463234091,2.305606432,0.2213743733,-1.512311711,1.314583216
0.75,-0.5798450163,-4.818947891,0.85744853,2.14507305,0.2082811311,-1.49091653,1.314583189
0.755,-0.603820621,-4.771871745,0.8677801715,1.988160543,0.1951040115,-1.469693948,1.314583164
0.76,-0.6275692566,-4.72811034,0.8773356578,1.834563058,0.1818596447,-1.448659572,1.314583141
0.765,-0.6511067653,-4.687374369,0.8861308757,1.684011208,0.168563551,-1.427827407,1.314583121
0.77,-0.6744475908,-4.64939351,0.8941804508,1.536269261,0.1552302241,-1.407210057,1.314583102
0.775,-0.6976048687,-4.613914403,0.9014979083,1.391132491,0.1418732015,-1.386818897,1.314583085
0.78,-0.7205905063,-4.580698843,0.9080958222,1.248424712,0.128505125,-1.366664219,1.31458307
0.785,-0.7434152543,-4.549522156,0.9139859522,1.107995997,0.1151377904,-1.34675535,1.314583057
0.79,-0.7660887709,-4.520171769,0.9191793694,0.9697205625,0.1017821896,-1.327100763,1.314583044
0.795,-0.7886196789,-4.492445966,0.9236865725,0.8334948174,0.08844854503,-1.307708164,1.314583034
0.8,-0.8110156176,-4.46615281,0.9275175938,0.6992355464,0.07514633824,-1.288584563,1.314583024
0.805,-0.833283289,-4.441109222,0.9306820968,0.566878223,0.06188433316,-1.269736346,1.314583015
0.81,-0.8554285002,-4.417140203,0.9331894658,0.4363754276,0.04867059481,-1.251169322,1.314583007
0.815,-0.8774562021,-4.394078196,0.935048888,0.3076953585,0.03551250447,-1.232888775,1.314583
0.82,-0.8993705256,-4.371762548,0.9362694271,0.1808204224,0.02241677197,-1.214899498,1.314582993
0.825,-0.9211748141,-4.350039099,0.9368600921,0.05574589263,0.009389445576,-1.197205826,1.314582987
0.83,-0.9428716564,-4.328759845,0.9368298975,-0.06752137375,-0.003564079679,-1.179811666,1.314582982
0.835,-0.9644629157,-4.3077827,0.9361879185,-0.1889641686,-0.01643905482,-1.162720513,1.314582977
0.84,-0.9859497593,-4.286971321,0.93494334,-0.3085561191,-0.02923137031,-1.145935471,1.314582973
0.845,-1.007332687,-4.266194993,0.933105499,-0.4262628333,-0.04193754954,-1.129459266,1.314582969
0.85,-1.028611559,-4.245328577,0.9306839222,-0.5420430057,-0.05455474197,-1.113294255,1.314582965
0.855,-1.049785623,-4.224252487,0.9276883581,-0.6558494849,-0.06708071552,-1.097442434,1.314582961
0.86,-1.070853544,-4.202852705,0.9241288033,-0.7676303024,-0.07951384778,-1.081905445,1.314582958
0.865,-1.091813429,-4.18102083,0.920015524,-0.8773296619,-0.09185311591,-1.066684578,1.314582955
0.87,-1.11266286,-4.15865413,0.9153590734,-0.9848888863,-0.1040980847,-1.051780771,1.314582952
0.875,-1.133398917,-4.135655611,0.9101703031,-1.090247321,-0.1162488927,-1.037194613,1.314582949
0.88,-1.154018211,-4.111934097,0.9044603712,-1.193343192,-0.1283062362,-1.022926343,1.314582946
0.885,-1.17451691,-4.08740429,0.8982407457,-1.294114409,-0.1402713512,-1.008975847,1.314582944
0.89,-1.194890774,-4.061986843,0.8915232044,-1.392499325,-0.1521459924,-0.9953426605,1.314582941
0.895,-1.215135177,-4.035608405,0.8843198306,-1.48843743,-0.1639324105,-0.9820259625,1.314582938
0.9,-1.235245144,-4.008201661,0.8766430062,-1.581870002,-0.1756333265,-0.9690245779,1.314582936
0.905,-1.255215377,-3.979705344,0.8685054007,-1.672740684,-0.1872519043,-0.956336976,1.314582933
0.91,-1.275040289,-3.950064239,0.8599199585,-1.760996011,-0.19879172,-0.9439612709,1.314582931
0.915,-1.294714029,-3.919229154,0.8508998833,-1.846585879,-0.2102567307,-0.9318952225,1.314582928
0.92,-1.314230518,-3.887156868,0.8414586198,-1.929463945,-0.2216512395,-0.9201362399,1.314582926
0.925,-1.333583473,-3.853810069,0.8316098343,-2.009587977,-0.2329798606,-0.9086813846,1.314582923
0.93,-1.352766441,-3.819157251,0.8213673935,-2.08692014,-0.2442474818,-0.897527377,1.314582921
0.935,-1.371772825,-3.7831726,0.8107453417,-2.161427234,-0.2554592258,-0.8866706027,1.314582919
0.94,-1.390595913,-3.745835858,0.7997578773,-2.233080871,-0.2666204117,-0.8761071225,1.314582916
0.945,-1.409228905,-3.707132165,0.7884193282,-2.301857608,-0.2777365149,-0.8658326829,1.314582914
0.95,-1.42766494,-3.667051888,0.7767441271,-2.367739035,-0.2888131271,-0.8558427288,1.314582911
0.955,-1.445897122,-3.625590424,0.764746786,-2.430711812,-0.2998559165,-0.8461324186,1.314582909
0.96,-1.463918543,-3.582748007,0.7524418709,-2.490767678,-0.3108705885,-0.8366966407,1.314582907
